id,pollingfirm,year,month,day,party_a,party_b,party_c,party_f,party_i,party_k,party_o,party_v,party_oe,party_aa,n,source
1,Megafon,2010,1,20,25.4,4.5,11.2,18.5,0.3,,14.6,22.4,2.6,,1089,
2,Gallup,2010,1,29,25,3.4,11.1,19.1,0.7,,14.2,23.7,2.2,,1450,
3,Greens,2010,2,3,26.2,5.4,9.6,16.9,1.1,,14.2,24,2.1,,1050,
4,Rambøll,2010,2,11,26.6,4.1,9.7,18.3,0.5,,13.7,23.7,2.5,,1050,
5,Megafon,2010,2,25,25.8,4.4,11.4,16.8,0.6,,15.2,22.2,3.1,,1000,
6,Gallup,2010,2,26,26.6,4.7,10.4,16.4,0.4,,13.7,24.9,2.3,,1450,
7,Greens,2010,3,3,28.4,5,11,14.7,0.4,,11.7,25.5,2.7,,1050,
8,Rambøll,2010,3,4,24.6,4.7,12.7,16.9,0.2,,12.6,24.6,3,,,
9,Megafon,2010,3,24,25.8,5.1,11.2,18.1,1.2,,13,22.2,2.5,,1089,
10,Gallup,2010,3,26,26.7,4.3,11,16.4,0.8,,13.9,24,2.4,,,
11,Rambøll,2010,3,30,27.4,4.5,8.8,16.1,0.9,,13.4,25.4,2.8,,1050,
12,YouGov,2010,4,12,28.1,4.4,9.4,17.5,2.3,,15.4,19.2,3.4,,1050,
13,Greens,2010,4,14,28.5,6.1,9.6,16.4,0.4,,15.2,21,2.2,,988,
14,Megafon,2010,4,22,25.7,4.6,8.5,16.9,2.6,,14.3,23.1,3.7,,1089,
15,Gallup,2010,4,23,28.2,4.4,8.6,15.4,1.7,,14,24.5,2.3,,,
16,Greens,2010,5,5,26.6,5.2,9.6,19.2,2.3,,12.5,21.7,2.5,,1004,
17,Rambøll,2010,5,6,27.4,4.7,9,19.4,2.7,,12,21.9,2.1,,1000,
18,Megafon,2010,5,26,31.5,4.7,7.8,16.7,1.8,,11.9,22.1,2.7,,,
19,Gallup,2010,5,28,27.1,4.4,8.4,17,3.8,,12.8,22.9,2.7,,1450,
20,Greens,2010,6,2,30.3,4.8,7.3,19.4,3.1,,10.7,21.4,2.7,,1079,
21,Rambøll,2010,6,10,29.3,5,8,17.7,2.1,,12.6,22,2.6,,1050,
22,Megafon,2010,6,24,26.7,5.7,6.8,17.3,4.5,,13.3,21.5,3.7,,1089,
23,Gallup,2010,6,24,29,4.8,7.3,16,4,,13.1,22.3,2.9,,,
24,YouGov,2010,7,3,27.3,4.1,6.7,18.5,6.1,,14.4,19.2,3.1,,1050,
25,Gallup,2010,7,22,26.9,4.5,8.2,16.7,2.6,,12.7,25.3,2.3,,,
26,Greens,2010,8,5,26.5,5.4,7.4,16.5,3.5,,14.4,22.8,2.5,,1079,
27,YouGov,2010,8,9,23.3,4,7.2,19.4,6,,16.3,20.2,3,,1050,
28,Rambøll,2010,8,12,24.7,5.1,6.6,16.8,4.5,,15,23.5,2.5,,1000,
29,Megafon,2010,8,25,25.8,5.4,6.8,17.4,3.8,,13.4,24.2,3,,1089,
30,Gallup,2010,8,26,25.4,4,7,19.4,3.8,,13.1,24.1,2.6,,1450,
31,Rambøll,2010,9,10,25.4,5.4,6.7,16.9,4.7,,15.6,21.3,2.5,,1050,
32,Megafon,2010,9,23,25,4.7,6.2,16.1,5.4,,16.9,21.8,2.9,,1089,
33,Gallup,2010,9,23,27.1,5.4,8.2,16,4.5,,12.1,23.3,2.6,,,
34,Greens,2010,9,29,29.9,5.5,6.6,15,5.3,,14.5,19.6,2.8,,1151,
35,YouGov,2010,10,4,27.2,4.6,6.1,16.5,7.4,,15.5,18.5,3.3,,1050,
36,Rambøll,2010,10,7,27,5,6.7,16.1,5.2,,13.4,22.2,2.3,,1050,
37,Voxmeter,2010,10,9,29.2,4.5,6.5,14.8,6.1,,13.9,22.4,2.2,,1050,
38,Megafon,2010,10,27,27.8,6.4,7.3,16.7,4.1,,13.4,21.8,2.4,,1089,
39,Gallup,2010,10,28,27.2,5.3,6.3,15.9,4.6,,13.7,23.1,3.2,,1450,
40,Greens,2010,11,3,27.1,4.3,7.3,15.7,6.5,,14.3,20.8,3,,974,
41,Gallup,2010,11,12,26.3,4.5,5.9,15.6,6.1,,14.2,24,2.4,,1450,
42,Epinion,2010,11,24,28.9,5.2,5.9,16,6,,13.5,20.4,3.6,,1020,
43,Megafon,2010,11,25,26.7,6.2,6.1,13.8,7.4,,13.7,19.8,4.9,,1089,
44,Gallup,2010,12,10,26.2,6.6,6.9,14.5,6.6,,13.1,21.3,3.8,,1000,
45,Greens,2010,12,12,28.8,6,6.4,14.1,6.1,,13.5,20,4.1,,1006,
46,Megafon,2010,12,16,27.2,6.3,5.6,11.8,8.7,,14.9,19.4,5.2,,1089,
47,Voxmeter,2010,12,18,28.7,6.5,5.5,14,5.3,,15.6,20.8,3.2,,1050,
48,Greens,2011,1,5,29.2,7.5,4.5,13,5.8,,14.6,21.6,3.4,,1336,
49,Gallup,2011,1,6,31.3,5.5,6,12.7,4.3,,12.2,24.3,2.9,,1300,
50,Epinion,2011,1,12,29.9,5.5,5.9,13,4.3,,13,23.1,4.8,,1050,
51,Megafon,2011,1,13,26.6,7.7,5,11.6,7.7,,13.8,22.7,4.5,,1089,
52,Gallup,2011,1,14,28.6,5.8,5.7,14.9,4,,13,24.6,2.9,,1050,
53,Greens,2011,1,19,29.5,6.5,6.5,14.2,5.4,,11.6,22.6,2.7,,1000,
54,Gallup,2011,1,21,27.6,7.3,4.9,13.8,4.7,,14,23.9,2.7,,1300,
55,Megafon,2011,1,28,28.7,6.4,5.6,13,6.6,,14.3,21.2,4.1,,1050,
56,Greens,2011,2,2,31.2,5.6,5.4,15.6,4.4,,12.3,21.3,3.3,,1050,
57,Voxmeter,2011,2,7,26,5.7,4.3,15.6,8.6,,14.4,19.8,4.7,,1050,
58,Rambøll,2011,2,10,30.3,4.7,4.7,16.1,3.8,,13.3,23.9,3.1,,1050,
59,Gallup,2011,2,11,28.2,6.3,5.4,15.5,5.2,,12.5,22.4,3.8,,1050,
60,Voxmeter,2011,2,12,29,6.2,4.9,16.1,5.5,,11.9,22,3.4,,1050,
61,Epinion,2011,2,16,28.1,5,5.9,15.1,6,,13.4,22,3.9,,1050,
62,Megafon,2011,2,24,28.8,6.3,5.4,15.2,6.8,,13.9,19.3,3.7,,1050,
63,Greens,2011,3,2,30.5,6,5.5,16.3,4.2,,13.3,20.1,3.4,,1050,
64,Voxmeter,2011,3,6,29.9,5.8,5.6,15.5,6,,13.1,18.6,4,,1030,
65,Rambøll,2011,3,10,29,6.2,5.2,14.3,5.6,,13.5,21.2,3.7,,1050,
66,Gallup,2011,3,11,28.6,6.3,5.8,12.7,7.2,,15.2,19.9,3.2,,1633,
67,Epinion,2011,3,21,30.4,5,4.9,14,5.1,,15.2,20.3,4.5,,1050,
68,Megafon,2011,4,1,28.9,6.7,5.3,14.3,6.6,,12.8,20.9,3.2,,1050,
69,Greens,2011,4,6,29.3,6.2,6.4,13.6,4.4,,13.1,22.3,3.5,,1050,
70,Rambøll,2011,4,7,28.3,6,6.9,15.4,5,,13.9,20.4,3.2,,1050,
71,Gallup,2011,4,8,27.8,6.3,5.5,14.2,5.5,,13.5,22.8,3.5,,1050,
72,Voxmeter,2011,4,16,29.9,6.7,5.9,14.4,3.2,,13.8,21.8,3.2,,1050,
73,Epinion,2011,4,20,30.2,5.7,5.6,15.6,4.1,,13.4,21.1,3.5,,1050,
74,Norstat,2011,4,22,30.3,5.5,6.5,13.3,3.4,,15.4,20.9,3.5,,1050,
75,Megafon,2011,4,29,29.6,7.6,5.6,13.8,6.3,,12.2,19.8,4.4,,1050,
76,Voxmeter,2011,5,1,27.7,5.2,6.7,13.8,4.9,,14.4,22.6,3.8,,1050,
77,Greens,2011,5,4,26.3,7.3,5.6,15.3,2.7,,14,23.7,3.7,,1000,
78,Gallup,2011,5,5,27.1,5.7,7.3,14.9,4.1,,13.1,24.1,3.3,,1000,
79,Voxmeter,2011,5,8,29.4,6.3,6.5,13.2,5.3,,13,22.5,3.4,,1000,
80,Gallup,2011,5,11,28.2,7.1,6.2,12.9,4.6,,13.2,22.8,4.2,,1000,
81,Epinion,2011,5,13,28.2,6.4,5.8,13.4,3.4,,15.7,21.7,4.6,,1000,
82,Voxmeter,2011,5,14,28.2,7.2,6.8,13.9,3.4,,13.6,22.4,3.5,,1009,
83,Gallup,2011,5,15,27.8,7.4,6.8,12,3.3,,13.5,24.3,4,,2326,
84,Megafon,2011,5,18,26.6,8.1,7.1,12.9,4.1,,12.9,22.8,4.8,,1000,
85,Gallup,2011,5,19,27.8,7.6,5.9,13.1,3,,13.1,24.6,3.8,,2479,
86,Greens,2011,5,23,26.5,7.9,6.4,14.2,4,,13.9,22.8,3.8,,1228,
87,Megafon,2011,5,25,27,7.1,6.6,13.3,3.7,,12.1,23.9,5.3,,1000,
88,Gallup,2011,5,27,27.2,6.8,5.7,12.8,4.2,,13.2,23.7,5,,1990,
89,Voxmeter,2011,5,31,27.6,7.5,6.9,13.8,2.8,,12,32.2,4.7,,1000,
90,YouGov,2011,6,5,26.7,9,5.7,13.5,5.8,,10.9,23,4.7,,1527,
91,Greens,2011,6,10,27.9,8.3,6,12.6,4.2,,11.4,23.5,5.6,,1000,
92,Gallup,2011,6,10,26.6,8.7,6.5,11.4,4.1,,13.4,23.6,5.1,,1631,
93,Rambøll,2011,6,12,27.3,7.9,6.8,12.9,2.3,,13.4,23.4,4.8,,1000,
94,Voxmeter,2011,6,13,27.5,6.4,7.4,13,3.3,,15.2,21.4,4.4,,1000,
95,Voxmeter,2011,6,20,28.9,7.5,6.4,14.2,3.6,,12.5,21.9,4.7,,1000,
96,Epinion,2011,6,23,29,7,6.7,14.1,3.4,,13.4,21.6,4.5,,973,
97,Megafon,2011,6,23,27.4,7.2,6.4,13.5,4,,13.2,23.3,4.6,,1000,
98,Voxmeter,2011,6,25,28.8,7.3,6.6,13.3,3.4,,12.6,23.1,4.5,,1003,
99,Voxmeter,2011,7,3,27.7,7.4,6,13.9,3.8,,12.7,22.3,4.2,,1004,
100,YouGov,2011,7,4,26.4,8.1,5.3,13.5,5.8,,13.7,20.9,5.6,,2737,
101,Gallup,2011,7,8,26.7,7.2,6.2,13,3.5,,13.8,23.1,5.2,,1689,
102,Norstat,2011,7,24,28.5,6.1,7.3,15.1,2.7,,13.4,20.8,4.4,,1143,
103,Epinion,2011,7,27,28.1,7.5,6.7,13.2,3.6,,13.6,22.1,4.6,,1000,
104,Greens,2011,8,3,27.5,7.7,6.7,14.2,2.5,,13.7,22.6,3.7,,1000,
105,YouGov,2011,8,7,27.2,9.2,5.9,12.1,5,,14,19.5,5.9,,1797,
106,Gallup,2011,8,10,27.1,6.7,6.5,12.6,2.6,,14.1,25.3,4.2,,1653,
107,Rambøll,2011,8,11,29.1,6.9,7.1,12.4,3.4,,12.4,22.9,4.9,,938,
108,Epinion,2011,8,11,28.8,7.9,6.1,13.7,3.2,,12,23,5.1,,1000,
109,Voxmeter,2011,8,13,27.8,7.7,6.6,14.1,2.8,,11.7,24.7,4.3,,1000,
110,Norstat,2011,8,14,28.1,6.7,6.3,14.1,2.7,,13.5,23.2,4.7,,1157,
111,Megafon,2011,8,17,28,7.9,6.6,12.6,4,,10.7,25.4,4.5,,865,
112,Voxmeter,2011,8,19,27.5,7.5,6.8,13.9,3.8,,11.9,22,4.6,,1002,
113,Gallup,2011,8,22,22.5,7.3,6.2,14,3.9,,12.5,24.7,4.7,,1476,
114,Megafon,2011,8,25,26.4,7.4,5.9,13.6,4.3,,12.3,24.9,4.6,,1000,
115,Gallup,2011,8,25,25,8.1,6.6,12.4,3.2,,13,25.7,4.8,,1674,
116,Megafon,2011,8,26,26.1,7.7,5.6,13.1,4.4,,12.9,24.7,4.6,,1000,
117,Voxmeter,2011,8,26,28.1,7.5,6.3,14.6,3.3,,12.4,21.9,3.9,,1002,
118,Epinion,2011,8,26,27.8,7.9,6.1,13.1,3.9,,11.7,23.4,5.2,,1051,
119,Gallup,2011,8,26,26.5,7.7,6.8,12.4,2.4,,13,25.4,5,,1477,
120,Rambøll,2011,8,27,27.3,8.3,5.1,12.5,3.7,,13.6,23,5.7,,894,
121,Voxmeter,2011,8,27,27.5,6.7,6.8,14.6,3.4,,12,22.2,4.9,,1000,
122,Norstat,2011,8,27,28.4,8,7.4,12.4,1.9,,12.2,24.7,4.1,,1053,
123,Gallup,2011,8,27,26.8,8.5,6.7,12.4,3.2,,12.4,24.2,4.9,,1528,
